,dir,local_ip,lp,mod,nm,prod,productId,protocol,remote_ip,rp,sigid,sigwid,timestamp,ua,url,company_name,cust_id,last_vdb_timestamp,machine_type,os_arch,os_id,os_name,pkhash,product_name,product_version,sp_major_version,sp_minor_version,trial_copy,vdb_timestamp,vertical_id,city_name,country_name,real_region_name,Cluster_5
628,in,44.59.14.19,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt2,SMB,48.59.14.19,53744,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname4,3a9f80c6d13088d7f991470b94eba33a,"02 March, 2019 (08:03:05)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,fbe81bec41b0741840fe67b7511c347a,qhpname4,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:34)",bollywood,city-1,country4,region1,1
629,in,28.9.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt8,SMB,29.9.177.921.,1928,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname5,90db3af21d0938a4bf1d741132a011f6,"02 March, 2019 (18:33:05)",DESKTOP,32Bit,50016.0,Windows XP Professional,b176a799f935055041067578ca62281a,qhpname5,qhpver0,2.0,0.0,0.0,"03 March, 2019 (18:39:34)",manufacturing,city126,country4,region22,1
630,in,38.19.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt10,SMB,69.19.177.921.,49725,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,f50a089d49c22c9475035e575ec95b5d,"02 March, 2019 (08:03:25)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,0f452f252915d1fa2bb5d04869aafa58,qhpname7,qhpver1,0.0,0.0,0.0,"03 March, 2019 (08:09:50)",bollywood,city36,country4,region20,1
631,in,87.122.177.201,445,blk,SMB/EternalBlue.UN!SP.31780,UN,qhpdt9,SMB,36.114.177.921.,50799,31780.0,qhcltr4,2019-03-04T06:27:38.000Z,,,qhpname7,6977e50e5f4c563896b3bcc1c0a691e3,"01 January, 1970 (00:00:00)",DESKTOP,32Bit,50032.0,Windows 7,c1de6fc5a8c78ec2933e5f7da9f3f6bb,qhpname7,qhpver0,0.0,0.0,1.0,"11 October, 2018 (06:40:00)",finance,city-1,country4,region1,1
632,in,37.9.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt10,,10.160.57.210,16160,0.0,qhcltr1,2019-03-04T06:27:38.000Z,,,qhpname1,9a0740dea7bc1a98553de2168dd2c205,"02 March, 2019 (08:03:25)",,,0.0,,c6107d5b2161c78f652829bfdf7caa5c,qhpname-1,qhpver1,0.0,0.0,0.0,"03 March, 2019 (08:09:50)",,city156,country4,region39,2
633,in,133.11.177.201,94444,blk,jjjjjjjjjjjjjjjjjjj,,qhpdt4,,184.106.233.96,51043,0.0,qhcltr1,2019-03-04T06:27:38.000Z,,,qhpname3,0de48cf3a1bdbc402952453518e4ccd3,"01 March, 2019 (13:09:08)",DESKTOP,64Bit,50031.0,Windows Server 2008 R2 64 bit,1a6f49198d193cd33a4deac2e643e009,qhpname3,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:50)",finance,city144,country4,region26,4
634,in,226.61.207.126,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,119.155.145.119,54210,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname6,50e39d853e90af09fb705229121f7bcc,"02 March, 2019 (08:03:05)",DESKTOP,32Bit,50032.0,Windows 7,ceea7d49b8695e4253a4bb6d7716cf78,qhpname6,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:34)",finance,city87,country4,region3,0
635,in,49.159.25.811.,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,175.159.25.181,50339,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname7,b67dc4cdc819f27db881f663bb007392,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,cf0be4cddef28289d632f44f9b59edb8,qhpname7,qhpver0,0.0,0.0,0.0,"03 March, 2019 (08:09:50)",educational,city144,country4,region26,0
636,in,35.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt6,SMB,78.238.96.189,62211,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname6,df1e3088b5b352beafca14ff57ffc964,"02 March, 2019 (08:03:05)",DESKTOP,64Bit,50033.0,Windows 7 64 bit,2c4afc8edc5b08c52d7bb2a057a2e6b0,qhpname6,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:34)",defence,city36,country4,region20,0
637,in,50.9.177.201,445,blk,SMB/CVE-2017-0147-EC.WIN!KP.1912,WIN,qhpdt9,SMB,56.9.177.921.,52555,1912.0,qhcltr0,2019-03-04T06:27:38.000Z,,,qhpname7,0d78ea77ac7de2a20787f4155e776b12,"02 March, 2019 (08:03:25)",DESKTOP,32Bit,50032.0,Windows 7,5388296a3d7933ae29c323feaacbc6c1,qhpname7,qhpver0,1.0,0.0,0.0,"03 March, 2019 (08:09:50)",defence,city144,country4,region26,0
